id,name,r,g,b
301,ENTm2,50,184,37
302,ENTm2a,50,184,37
303,ENTm2b,50,184,37
304,ENTm3,50,184,37
305,ENTm4,50,184,37
306,ENTm5,50,184,37
307,ENTm5/6,50,184,37
308,ENTm6,50,184,37
309,ENTmv,50,184,37
310,ENTmv1,50,184,37
311,ENTmv2,50,184,37
312,ENTmv3,50,184,37
313,ENTmv4,50,184,37
314,ENTmv5/6,50,184,37
315,EP,160,238,157
316,EPI,255,144,159
317,EPd,160,238,157
318,EPv,160,238,157
319,EV,255,179,217
320,EW,255,144,255
321,Eth,255,144,159
322,FC,126,208,75
323,FF,242,72,59
324,FL,255,252,145
325,FLgr,236,231,84
326,FLmo,255,252,145
327,FLpu,255,252,145
328,FN,255,253,188
329,FOTU,255,252,145
330,FOTUgr,236,231,84
331,FOTUmo,255,252,145
332,FOTUpu,255,252,145
333,FRP,38,143,69
334,FRP1,38,143,69
335,FRP2/3,38,143,69
336,FRP5,38,143,69
337,FRP6a,38,143,69
338,FRP6b,38,143,69
339,FS,128,205,248
340,GENd,255,128,132
341,GENv,255,144,159
342,GPe,133,153,204
343,GPi,133,153,204
344,GR,255,165,210
345,GRN,255,179,217
346,GU,0,156,117
347,GU1,0,156,117
348,GU2/3,0,156,117
349,GU4,0,156,117
350,GU5,0,156,117
351,GU6a,0,156,117
352,GU6b,0,156,117
353,HATA,51,185,50
354,HB,255,155,136
355,HEM,255,252,145
356,HIP,126,208,75
357,HPF,126,208,75
358,HY,230,68,56
359,I5,255,186,134
360,IA,128,192,226
361,IAD,255,144,159
362,IAM,255,144,159
363,IB,255,112,128
364,IC,255,122,255
365,ICB,255,179,217
366,ICc,255,122,255
367,ICd,255,122,255
368,ICe,255,122,255
369,IF,255,166,255
370,IG,126,208,75
371,IGL,255,144,159
372,III,255,144,255
373,IIIn,204,204,204
374,IIn,204,204,204
375,ILA,89,179,99
376,ILA1,89,179,99
377,ILA2,89,179,99
378,ILA2/3,89,179,99
379,ILA5,89,179,99
380,ILA6a,89,179,99
381,ILA6b,89,179,99
382,ILM,255,144,159
383,IMD,255,144,159
384,INC,255,144,255
385,INV,255,179,217
386,IO,255,179,217
387,IP,255,253,188
388,IPA,255,166,255
389,IPC,255,166,255
390,IPDL,255,166,255
391,IPDM,255,166,255
392,IPF,170,170,170
393,IPI,255,166,255
394,IPL,255,166,255
395,IPN,255,166,255
396,IPR,255,166,255
397,IPRL,255,166,255
398,IRN,255,179,217
399,ISN,255,179,217
400,IV,255,144,255
401,IVF,170,170,170
402,IVd,204,204,204
403,IVn,204,204,204
404,IXn,204,204,204
405,In,204,204,204
406,InCo,255,144,255
407,IntG,255,144,159
408,Isocortex,112,255,113
409,KF,255,174,111
410,LA,144,235,141
411,LAT,255,144,159
412,LAV,255,179,217
413,LC,255,195,149
414,LD,255,144,159
415,LDT,255,195,149
416,LGd,255,128,132
417,LGd-co,255,128,132
418,LGd-ip,255,128,132
419,LGd-sh,255,128,132
420,LGv,255,144,159
421,LGvl,255,144,159
422,LGvm,255,144,159
423,LH,255,144,159
424,LHA,242,72,59
425,LIN,255,179,217
426,LING,255,252,145
427,LINGgr,236,231,84
428,LINGmo,255,252,145
429,LINGpu,255,252,145
430,LM,255,76,62
431,LP,255,144,159
432,LPO,242,72,59
433,LRN,255,179,217
434,LRNm,255,179,217
435,LRNp,255,179,217
436,LS,144,203,237
437,LSS,128,205,248
438,LSX,144,203,237
439,LSc,144,203,237
440,LSr,144,203,237
441,LSv,144,203,237
